line_number,raw_line,timestamp_raw,parsed_datetime,host,process,pid,event_type,attack_stage,username,source_ip,source_port,command,is_privileged_account,is_suspicious_source,parse_status
15,Jul 06 01:21:46 backup01 sshd[7643]: Accepted password for backup from 192.0.2.10 port 38675 ssh2,Jul 06 01:21:46,2026-07-06 01:21:46,backup01,sshd,7643,accepted_password,possible_successful_access,backup,192.0.2.10,38675,,True,True,parsed
16,Jul 06 01:21:46 backup01 sshd[6442]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 06 01:21:46,2026-07-06 01:21:46,backup01,sshd,6442,session_opened,session_activity,backup,,,,True,False,parsed
17,Jul 06 01:22:26 backup01 sshd[7108]: Accepted password for backup from 198.51.100.26 port 32000 ssh2,Jul 06 01:22:26,2026-07-06 01:22:26,backup01,sshd,7108,accepted_password,possible_successful_access,backup,198.51.100.26,32000,,True,True,parsed
18,Jul 06 01:22:52 backup01 sshd[3499]: Accepted password for ops from 198.51.100.25 port 34459 ssh2,Jul 06 01:22:52,2026-07-06 01:22:52,backup01,sshd,3499,accepted_password,possible_successful_access,ops,198.51.100.25,34459,,True,True,parsed
19,Jul 06 01:22:52 backup01 sshd[3657]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 01:22:52,2026-07-06 01:22:52,backup01,sshd,3657,session_opened,session_activity,ops,,,,True,False,parsed
20,Jul 06 01:27:58 backup01 CRON[5328]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 06 01:27:58,2026-07-06 01:27:58,backup01,CRON,5328,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
21,Jul 06 01:29:57 backup01 sshd[4088]: Failed password for arun from 198.51.100.24 port 39847 ssh2,Jul 06 01:29:57,2026-07-06 01:29:57,backup01,sshd,4088,failed_password,initial_access_attempt,arun,198.51.100.24,39847,,False,True,parsed
22,Jul 06 01:35:51 backup01 sshd[9609]: Failed password for ops from 198.51.100.25 port 56843 ssh2,Jul 06 01:35:51,2026-07-06 01:35:51,backup01,sshd,9609,failed_password,initial_access_attempt,ops,198.51.100.25,56843,,True,True,parsed
23,Jul 06 01:36:41 backup01 sshd[2685]: Failed password for j.maguire from 192.0.2.21 port 60501 ssh2,Jul 06 01:36:41,2026-07-06 01:36:41,backup01,sshd,2685,failed_password,initial_access_attempt,j.maguire,192.0.2.21,60501,,False,True,parsed
24,Jul 06 01:41:09 backup01 sshd[9303]: Accepted password for j.maguire from 192.0.2.40 port 62959 ssh2,Jul 06 01:41:09,2026-07-06 01:41:09,backup01,sshd,9303,accepted_password,possible_successful_access,j.maguire,192.0.2.40,62959,,False,True,parsed
25,Jul 06 01:44:47 backup01 sshd[8047]: Accepted password for ops from 192.0.2.40 port 41246 ssh2,Jul 06 01:44:47,2026-07-06 01:44:47,backup01,sshd,8047,accepted_password,possible_successful_access,ops,192.0.2.40,41246,,True,True,parsed
26,Jul 06 01:22:52 backup01 sshd[9292]: pam_unix(sshd:session): session closed for user ops,Jul 06 01:22:52,2026-07-06 01:22:52,backup01,sshd,9292,session_closed,session_activity,ops,,,,True,False,parsed
27,Jul 06 01:47:53 backup01 sshd[5418]: Invalid user ubuntu from 192.0.2.31 port 41465,Jul 06 01:47:53,2026-07-06 01:47:53,backup01,sshd,5418,invalid_user,account_probing,ubuntu,192.0.2.31,41465,,False,True,parsed
28,Jul 06 01:53:00 backup01 sshd[8034]: error: maximum authentication attempts exceeded for backup from 198.51.100.25 port 60116 ssh2 [preauth],Jul 06 01:53:00,2026-07-06 01:53:00,backup01,sshd,8034,max_auth_attempts,brute_force_or_password_spraying,backup,198.51.100.25,60116,,True,True,parsed
29,Jul 06 01:53:23 backup01 sshd[8330]: Invalid user oracle from 192.0.2.40 port 59697,Jul 06 01:53:23,2026-07-06 01:53:23,backup01,sshd,8330,invalid_user,account_probing,oracle,192.0.2.40,59697,,False,True,parsed
30,Jul 06 01:54:22 backup01 sshd[5155]: Connection closed by authenticating user arun 192.0.2.11 port 39982 [preauth],Jul 06 01:54:22,2026-07-06 01:54:22,backup01,sshd,5155,preauth_closed,preauth_interruption,arun,192.0.2.11,39982,,False,True,parsed
31,Jul 06 01:57:56 backup01 sshd[6860]: Accepted password for ops from 192.0.2.11 port 52676 ssh2,Jul 06 01:57:56,2026-07-06 01:57:56,backup01,sshd,6860,accepted_password,possible_successful_access,ops,192.0.2.11,52676,,True,True,parsed
32,Jul 06 01:57:56 backup01 sshd[7725]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 01:57:56,2026-07-06 01:57:56,backup01,sshd,7725,session_opened,session_activity,ops,,,,True,False,parsed
33,Jul 06 01:57:56 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,Jul 06 01:57:56,2026-07-06 01:57:56,backup01,sudo,,sudo_command,post_login_privileged_activity,ops,,,/usr/bin/systemctl restart apache2,True,False,parsed
34,Jul 06 02:00:01 backup01 CRON[7942]: pam_unix(cron:session): session opened for user backup by (uid=0),Jul 06 02:00:01,2026-07-06 02:00:01,backup01,CRON,7942,cron_session,scheduled_or_background_activity,backup,,,,True,False,parsed
35,Jul 06 02:03:07 backup01 sshd[6495]: error: maximum authentication attempts exceeded for j.singer from 192.0.2.21 port 44875 ssh2 [preauth],Jul 06 02:03:07,2026-07-06 02:03:07,backup01,sshd,6495,max_auth_attempts,brute_force_or_password_spraying,j.singer,192.0.2.21,44875,,False,True,parsed
36,Jul 06 02:05:07 backup01 sshd[8208]: Failed password for j.singer from 192.0.2.20 port 41265 ssh2,Jul 06 02:05:07,2026-07-06 02:05:07,backup01,sshd,8208,failed_password,initial_access_attempt,j.singer,192.0.2.20,41265,,False,True,parsed
37,Jul 06 02:06:38 backup01 sshd[2462]: Connection closed by authenticating user j.maguire 192.0.2.12 port 55574 [preauth],Jul 06 02:06:38,2026-07-06 02:06:38,backup01,sshd,2462,preauth_closed,preauth_interruption,j.maguire,192.0.2.12,55574,,False,True,parsed
38,Jul 06 01:57:56 backup01 sshd[2422]: pam_unix(sshd:session): session closed for user ops,Jul 06 01:57:56,2026-07-06 01:57:56,backup01,sshd,2422,session_closed,session_activity,ops,,,,True,False,parsed
39,Jul 06 02:15:36 backup01 CRON[2205]: pam_unix(cron:session): session opened for user backup by (uid=0),Jul 06 02:15:36,2026-07-06 02:15:36,backup01,CRON,2205,cron_session,scheduled_or_background_activity,backup,,,,True,False,parsed
40,Jul 06 02:19:09 backup01 sshd[6924]: Connection closed by authenticating user j.singer 192.0.2.21 port 32887 [preauth],Jul 06 02:19:09,2026-07-06 02:19:09,backup01,sshd,6924,preauth_closed,preauth_interruption,j.singer,192.0.2.21,32887,,False,True,parsed
41,Jul 06 01:21:46 backup01 sshd[1761]: pam_unix(sshd:session): session closed for user backup,Jul 06 01:21:46,2026-07-06 01:21:46,backup01,sshd,1761,session_closed,session_activity,backup,,,,True,False,parsed
42,Jul 06 02:21:14 backup01 sshd[8502]: Accepted password for arun from 198.51.100.26 port 34566 ssh2,Jul 06 02:21:14,2026-07-06 02:21:14,backup01,sshd,8502,accepted_password,possible_successful_access,arun,198.51.100.26,34566,,False,True,parsed
43,Jul 06 02:21:14 backup01 sshd[1909]: pam_unix(sshd:session): session opened for user arun by (uid=0),Jul 06 02:21:14,2026-07-06 02:21:14,backup01,sshd,1909,session_opened,session_activity,arun,,,,False,False,parsed
44,Jul 06 02:30:09 backup01 CRON[5983]: pam_unix(cron:session): session opened for user backup by (uid=0),Jul 06 02:30:09,2026-07-06 02:30:09,backup01,CRON,5983,cron_session,scheduled_or_background_activity,backup,,,,True,False,parsed
45,Jul 06 02:33:22 backup01 sshd[3146]: Invalid user sysadmin from 192.0.2.31 port 34355,Jul 06 02:33:22,2026-07-06 02:33:22,backup01,sshd,3146,invalid_user,account_probing,sysadmin,192.0.2.31,34355,,True,True,parsed
46,Jul 06 02:33:37 backup01 sshd[9279]: Invalid user support from 198.51.100.26 port 59364,Jul 06 02:33:37,2026-07-06 02:33:37,backup01,sshd,9279,invalid_user,account_probing,support,198.51.100.26,59364,,False,True,parsed
47,Jul 06 02:35:07 backup01 sshd[6570]: error: maximum authentication attempts exceeded for backup from 192.0.2.40 port 64560 ssh2 [preauth],Jul 06 02:35:07,2026-07-06 02:35:07,backup01,sshd,6570,max_auth_attempts,brute_force_or_password_spraying,backup,192.0.2.40,64560,,True,True,parsed
48,Jul 06 02:45:12 backup01 CRON[2644]: pam_unix(cron:session): session opened for user backup by (uid=0),Jul 06 02:45:12,2026-07-06 02:45:12,backup01,CRON,2644,cron_session,scheduled_or_background_activity,backup,,,,True,False,parsed
49,Jul 06 02:56:33 backup01 sshd[8638]: Accepted password for ops from 192.0.2.21 port 43271 ssh2,Jul 06 02:56:33,2026-07-06 02:56:33,backup01,sshd,8638,accepted_password,possible_successful_access,ops,192.0.2.21,43271,,True,True,parsed
50,Jul 06 02:56:33 backup01 sshd[4893]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 02:56:33,2026-07-06 02:56:33,backup01,sshd,4893,session_opened,session_activity,ops,,,,True,False,parsed
51,Jul 06 03:11:36 backup01 sshd[5185]: Failed password for j.maguire from 198.51.100.23 port 64101 ssh2,Jul 06 03:11:36,2026-07-06 03:11:36,backup01,sshd,5185,failed_password,initial_access_attempt,j.maguire,198.51.100.23,64101,,False,True,parsed
52,Jul 06 03:14:25 backup01 sshd[1244]: Failed password for arun from 192.0.2.11 port 38628 ssh2,Jul 06 03:14:25,2026-07-06 03:14:25,backup01,sshd,1244,failed_password,initial_access_attempt,arun,192.0.2.11,38628,,False,True,parsed
53,Jul 06 03:14:29 backup01 sshd[5109]: Invalid user ftp from 192.0.2.11 port 33885,Jul 06 03:14:29,2026-07-06 03:14:29,backup01,sshd,5109,invalid_user,account_probing,ftp,192.0.2.11,33885,,False,True,parsed
54,Jul 06 03:18:37 backup01 sshd[8085]: Accepted password for j.maguire from 192.0.2.11 port 43554 ssh2,Jul 06 03:18:37,2026-07-06 03:18:37,backup01,sshd,8085,accepted_password,possible_successful_access,j.maguire,192.0.2.11,43554,,False,True,parsed
55,Jul 06 03:18:37 backup01 sshd[8817]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 06 03:18:37,2026-07-06 03:18:37,backup01,sshd,8817,session_opened,session_activity,j.maguire,,,,False,False,parsed
56,Jul 06 03:20:07 backup01 sshd[5846]: Invalid user service from 192.0.2.12 port 40907,Jul 06 03:20:07,2026-07-06 03:20:07,backup01,sshd,5846,invalid_user,account_probing,service,192.0.2.12,40907,,False,True,parsed
57,Jul 06 03:22:07 backup01 sshd[7011]: Failed password for arun from 192.0.2.10 port 64310 ssh2,Jul 06 03:22:07,2026-07-06 03:22:07,backup01,sshd,7011,failed_password,initial_access_attempt,arun,192.0.2.10,64310,,False,True,parsed
58,Jul 06 03:26:41 backup01 CRON[4009]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 06 03:26:41,2026-07-06 03:26:41,backup01,CRON,4009,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
59,Jul 06 03:28:18 backup01 sshd[7923]: Failed password for backup from 192.0.2.21 port 41338 ssh2,Jul 06 03:28:18,2026-07-06 03:28:18,backup01,sshd,7923,failed_password,initial_access_attempt,backup,192.0.2.21,41338,,True,True,parsed
60,Jul 06 03:40:05 backup01 sshd[4207]: Accepted password for ops from 192.0.2.40 port 31464 ssh2,Jul 06 03:40:05,2026-07-06 03:40:05,backup01,sshd,4207,accepted_password,possible_successful_access,ops,192.0.2.40,31464,,True,True,parsed
61,Jul 06 03:40:05 backup01 sshd[5148]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 03:40:05,2026-07-06 03:40:05,backup01,sshd,5148,session_opened,session_activity,ops,,,,True,False,parsed
62,Jul 06 03:42:51 backup01 sshd[7206]: Failed password for j.singer from 192.0.2.31 port 60064 ssh2,Jul 06 03:42:51,2026-07-06 03:42:51,backup01,sshd,7206,failed_password,initial_access_attempt,j.singer,192.0.2.31,60064,,False,True,parsed
63,Jul 06 02:21:14 backup01 sshd[5452]: pam_unix(sshd:session): session closed for user arun,Jul 06 02:21:14,2026-07-06 02:21:14,backup01,sshd,5452,session_closed,session_activity,arun,,,,False,False,parsed
64,Jul 06 03:18:37 backup01 sshd[3798]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 03:18:37,2026-07-06 03:18:37,backup01,sshd,3798,session_closed,session_activity,j.maguire,,,,False,False,parsed
65,Jul 06 03:53:32 backup01 sshd[5098]: Accepted password for ops from 192.0.2.12 port 53526 ssh2,Jul 06 03:53:32,2026-07-06 03:53:32,backup01,sshd,5098,accepted_password,possible_successful_access,ops,192.0.2.12,53526,,True,True,parsed
66,Jul 06 03:53:32 backup01 sshd[8915]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 03:53:32,2026-07-06 03:53:32,backup01,sshd,8915,session_opened,session_activity,ops,,,,True,False,parsed
67,Jul 06 03:56:34 backup01 sshd[3137]: error: maximum authentication attempts exceeded for ops from 198.51.100.24 port 54065 ssh2 [preauth],Jul 06 03:56:34,2026-07-06 03:56:34,backup01,sshd,3137,max_auth_attempts,brute_force_or_password_spraying,ops,198.51.100.24,54065,,True,True,parsed
68,Jul 06 03:53:32 backup01 sshd[8451]: pam_unix(sshd:session): session closed for user ops,Jul 06 03:53:32,2026-07-06 03:53:32,backup01,sshd,8451,session_closed,session_activity,ops,,,,True,False,parsed
69,Jul 06 03:40:05 backup01 sshd[5854]: pam_unix(sshd:session): session closed for user ops,Jul 06 03:40:05,2026-07-06 03:40:05,backup01,sshd,5854,session_closed,session_activity,ops,,,,True,False,parsed
70,Jul 06 02:56:33 backup01 sshd[7222]: pam_unix(sshd:session): session closed for user ops,Jul 06 02:56:33,2026-07-06 02:56:33,backup01,sshd,7222,session_closed,session_activity,ops,,,,True,False,parsed
71,Jul 06 04:06:50 backup01 CRON[6293]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 06 04:06:50,2026-07-06 04:06:50,backup01,CRON,6293,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
72,Jul 06 04:16:02 backup01 CRON[2937]: pam_unix(cron:session): session opened for user root by (uid=0),Jul 06 04:16:02,2026-07-06 04:16:02,backup01,CRON,2937,cron_session,scheduled_or_background_activity,root,,,,True,False,parsed
73,Jul 06 04:26:19 backup01 sshd[4307]: Accepted password for j.singer from 198.51.100.23 port 53396 ssh2,Jul 06 04:26:19,2026-07-06 04:26:19,backup01,sshd,4307,accepted_password,possible_successful_access,j.singer,198.51.100.23,53396,,False,True,parsed
74,Jul 06 04:26:19 backup01 sshd[2463]: pam_unix(sshd:session): session opened for user j.singer by (uid=0),Jul 06 04:26:19,2026-07-06 04:26:19,backup01,sshd,2463,session_opened,session_activity,j.singer,,,,False,False,parsed
75,Jul 06 04:33:27 backup01 sshd[6639]: Accepted password for ops from 192.0.2.21 port 49564 ssh2,Jul 06 04:33:27,2026-07-06 04:33:27,backup01,sshd,6639,accepted_password,possible_successful_access,ops,192.0.2.21,49564,,True,True,parsed
76,Jul 06 04:33:27 backup01 sshd[4536]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 04:33:27,2026-07-06 04:33:27,backup01,sshd,4536,session_opened,session_activity,ops,,,,True,False,parsed
77,Jul 06 04:34:23 backup01 sshd[8535]: Failed password for j.maguire from 192.0.2.31 port 55948 ssh2,Jul 06 04:34:23,2026-07-06 04:34:23,backup01,sshd,8535,failed_password,initial_access_attempt,j.maguire,192.0.2.31,55948,,False,True,parsed
78,Jul 06 04:34:31 backup01 sshd[6491]: Invalid user sysadmin from 198.51.100.25 port 62866,Jul 06 04:34:31,2026-07-06 04:34:31,backup01,sshd,6491,invalid_user,account_probing,sysadmin,198.51.100.25,62866,,True,True,parsed
79,Jul 06 04:46:26 backup01 sshd[8487]: Connection closed by authenticating user j.singer 192.0.2.21 port 42051 [preauth],Jul 06 04:46:26,2026-07-06 04:46:26,backup01,sshd,8487,preauth_closed,preauth_interruption,j.singer,192.0.2.21,42051,,False,True,parsed
80,Jul 06 04:48:40 backup01 sshd[6701]: Failed password for j.singer from 198.51.100.25 port 58405 ssh2,Jul 06 04:48:40,2026-07-06 04:48:40,backup01,sshd,6701,failed_password,initial_access_attempt,j.singer,198.51.100.25,58405,,False,True,parsed
81,Jul 06 04:52:34 backup01 sshd[4443]: error: maximum authentication attempts exceeded for backup from 198.51.100.26 port 52706 ssh2 [preauth],Jul 06 04:52:34,2026-07-06 04:52:34,backup01,sshd,4443,max_auth_attempts,brute_force_or_password_spraying,backup,198.51.100.26,52706,,True,True,parsed
82,Jul 06 04:53:00 backup01 sshd[6740]: Accepted password for j.maguire from 192.0.2.40 port 40415 ssh2,Jul 06 04:53:00,2026-07-06 04:53:00,backup01,sshd,6740,accepted_password,possible_successful_access,j.maguire,192.0.2.40,40415,,False,True,parsed
83,Jul 06 04:53:00 backup01 sshd[7628]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 06 04:53:00,2026-07-06 04:53:00,backup01,sshd,7628,session_opened,session_activity,j.maguire,,,,False,False,parsed
84,Jul 06 04:53:00 backup01 sudo:    j.maguire : TTY=pts/4 ; PWD=/home/j.maguire ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,Jul 06 04:53:00,2026-07-06 04:53:00,backup01,sudo,,sudo_command,post_login_privileged_activity,j.maguire,,,/usr/bin/journalctl -n 50,False,False,parsed
85,Jul 06 04:26:19 backup01 sshd[2830]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 04:26:19,2026-07-06 04:26:19,backup01,sshd,2830,session_closed,session_activity,j.singer,,,,False,False,parsed
86,Jul 06 05:05:23 backup01 sshd[1698]: Connection closed by authenticating user backup 192.0.2.12 port 44317 [preauth],Jul 06 05:05:23,2026-07-06 05:05:23,backup01,sshd,1698,preauth_closed,preauth_interruption,backup,192.0.2.12,44317,,True,True,parsed
87,Jul 06 05:09:01 backup01 sshd[3892]: Accepted password for ops from 192.0.2.12 port 48028 ssh2,Jul 06 05:09:01,2026-07-06 05:09:01,backup01,sshd,3892,accepted_password,possible_successful_access,ops,192.0.2.12,48028,,True,True,parsed
88,Jul 06 04:53:00 backup01 sshd[8664]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 04:53:00,2026-07-06 04:53:00,backup01,sshd,8664,session_closed,session_activity,j.maguire,,,,False,False,parsed
89,Jul 06 05:32:08 backup01 sshd[5340]: Connection closed by authenticating user arun 192.0.2.10 port 57814 [preauth],Jul 06 05:32:08,2026-07-06 05:32:08,backup01,sshd,5340,preauth_closed,preauth_interruption,arun,192.0.2.10,57814,,False,True,parsed
90,Jul 06 05:34:30 backup01 sshd[3944]: Invalid user test from 192.0.2.11 port 44610,Jul 06 05:34:30,2026-07-06 05:34:30,backup01,sshd,3944,invalid_user,account_probing,test,192.0.2.11,44610,,False,True,parsed
91,Jul 06 05:45:15 backup01 sshd[5303]: Failed password for j.maguire from 198.51.100.25 port 41643 ssh2,Jul 06 05:45:15,2026-07-06 05:45:15,backup01,sshd,5303,failed_password,initial_access_attempt,j.maguire,198.51.100.25,41643,,False,True,parsed
92,Jul 06 05:46:16 backup01 sshd[7503]: Accepted password for backup from 192.0.2.10 port 56401 ssh2,Jul 06 05:46:16,2026-07-06 05:46:16,backup01,sshd,7503,accepted_password,possible_successful_access,backup,192.0.2.10,56401,,True,True,parsed
93,Jul 06 05:46:16 backup01 sshd[2193]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 06 05:46:16,2026-07-06 05:46:16,backup01,sshd,2193,session_opened,session_activity,backup,,,,True,False,parsed
94,Jul 06 04:33:27 backup01 sshd[8789]: pam_unix(sshd:session): session closed for user ops,Jul 06 04:33:27,2026-07-06 04:33:27,backup01,sshd,8789,session_closed,session_activity,ops,,,,True,False,parsed
95,Jul 06 05:53:21 backup01 sshd[4737]: Accepted password for j.maguire from 192.0.2.40 port 44612 ssh2,Jul 06 05:53:21,2026-07-06 05:53:21,backup01,sshd,4737,accepted_password,possible_successful_access,j.maguire,192.0.2.40,44612,,False,True,parsed
96,Jul 06 05:53:21 backup01 sshd[3173]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 06 05:53:21,2026-07-06 05:53:21,backup01,sshd,3173,session_opened,session_activity,j.maguire,,,,False,False,parsed
97,Jul 06 05:57:03 backup01 sshd[2064]: Invalid user administrator from 198.51.100.25 port 37947,Jul 06 05:57:03,2026-07-06 05:57:03,backup01,sshd,2064,invalid_user,account_probing,administrator,198.51.100.25,37947,,True,True,parsed
98,Jul 06 06:17:37 backup01 sshd[5698]: error: maximum authentication attempts exceeded for backup from 198.51.100.26 port 43138 ssh2 [preauth],Jul 06 06:17:37,2026-07-06 06:17:37,backup01,sshd,5698,max_auth_attempts,brute_force_or_password_spraying,backup,198.51.100.26,43138,,True,True,parsed
99,Jul 06 06:17:59 backup01 sshd[8595]: error: maximum authentication attempts exceeded for ops from 198.51.100.25 port 30974 ssh2 [preauth],Jul 06 06:17:59,2026-07-06 06:17:59,backup01,sshd,8595,max_auth_attempts,brute_force_or_password_spraying,ops,198.51.100.25,30974,,True,True,parsed
100,Jul 06 06:20:01 backup01 sshd[5873]: Failed password for ops from 198.51.100.25 port 39968 ssh2,Jul 06 06:20:01,2026-07-06 06:20:01,backup01,sshd,5873,failed_password,initial_access_attempt,ops,198.51.100.25,39968,,True,True,parsed
101,Jul 06 06:20:02 backup01 sshd[4160]: Accepted password for ops from 198.51.100.23 port 42883 ssh2,Jul 06 06:20:02,2026-07-06 06:20:02,backup01,sshd,4160,accepted_password,possible_successful_access,ops,198.51.100.23,42883,,True,True,parsed
102,Jul 06 06:21:05 backup01 sshd[5868]: Connection closed by authenticating user ops 192.0.2.11 port 60513 [preauth],Jul 06 06:21:05,2026-07-06 06:21:05,backup01,sshd,5868,preauth_closed,preauth_interruption,ops,192.0.2.11,60513,,True,True,parsed
103,Jul 06 06:21:06 backup01 sshd[9578]: Connection closed by authenticating user arun 192.0.2.30 port 38325 [preauth],Jul 06 06:21:06,2026-07-06 06:21:06,backup01,sshd,9578,preauth_closed,preauth_interruption,arun,192.0.2.30,38325,,False,True,parsed
104,Jul 06 06:23:09 backup01 sshd[2374]: Accepted password for ops from 192.0.2.21 port 61630 ssh2,Jul 06 06:23:09,2026-07-06 06:23:09,backup01,sshd,2374,accepted_password,possible_successful_access,ops,192.0.2.21,61630,,True,True,parsed
105,Jul 06 06:28:11 backup01 sshd[3264]: Invalid user admin from 192.0.2.12 port 50593,Jul 06 06:28:11,2026-07-06 06:28:11,backup01,sshd,3264,invalid_user,account_probing,admin,192.0.2.12,50593,,True,True,parsed
106,Jul 06 06:35:53 backup01 sshd[2207]: Accepted password for j.singer from 198.51.100.23 port 42934 ssh2,Jul 06 06:35:53,2026-07-06 06:35:53,backup01,sshd,2207,accepted_password,possible_successful_access,j.singer,198.51.100.23,42934,,False,True,parsed
107,Jul 06 06:35:53 backup01 sshd[4982]: pam_unix(sshd:session): session opened for user j.singer by (uid=0),Jul 06 06:35:53,2026-07-06 06:35:53,backup01,sshd,4982,session_opened,session_activity,j.singer,,,,False,False,parsed
108,Jul 06 06:36:55 backup01 sshd[7038]: Accepted password for j.maguire from 198.51.100.23 port 60228 ssh2,Jul 06 06:36:55,2026-07-06 06:36:55,backup01,sshd,7038,accepted_password,possible_successful_access,j.maguire,198.51.100.23,60228,,False,True,parsed
109,Jul 06 06:51:27 backup01 sshd[1988]: Accepted password for backup from 192.0.2.30 port 42607 ssh2,Jul 06 06:51:27,2026-07-06 06:51:27,backup01,sshd,1988,accepted_password,possible_successful_access,backup,192.0.2.30,42607,,True,True,parsed
110,Jul 06 06:51:27 backup01 sshd[5319]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 06 06:51:27,2026-07-06 06:51:27,backup01,sshd,5319,session_opened,session_activity,backup,,,,True,False,parsed
111,Jul 06 05:46:16 backup01 sshd[2082]: pam_unix(sshd:session): session closed for user backup,Jul 06 05:46:16,2026-07-06 05:46:16,backup01,sshd,2082,session_closed,session_activity,backup,,,,True,False,parsed
