sudo_time,username,command,previous_login_time,minutes_after_login,previous_login_source_ip,sudo_raw_line,severity
2026-07-06 01:57:56,ops,/usr/bin/systemctl restart apache2,2026-07-06 01:57:56,0.0,192.0.2.11,Jul 06 01:57:56 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-07 08:57:04,ops,/usr/bin/systemctl restart apache2,2026-07-07 08:57:04,0.0,198.51.100.26,Jul 07 08:57:04 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-07 09:16:21,ops,/usr/bin/systemctl status ssh,2026-07-07 09:16:21,0.0,198.51.100.25,Jul 07 09:16:21 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-07 10:10:34,backup,/usr/bin/apt update,2026-07-07 10:10:34,0.0,192.0.2.10,Jul 07 10:10:34 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-07 10:43:07,ops,/usr/bin/journalctl -n 50,2026-07-07 10:43:07,0.0,192.0.2.30,Jul 07 10:43:07 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-07 10:52:22,backup,/usr/bin/journalctl -n 50,2026-07-07 10:52:22,0.0,192.0.2.20,Jul 07 10:52:22 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-07 12:16:47,backup,/usr/bin/du -sh /var/log,2026-07-07 12:16:47,0.0,192.0.2.12,Jul 07 12:16:47 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-07 12:38:14,ops,/usr/bin/du -sh /var/log,2026-07-07 12:38:14,0.0,192.0.2.31,Jul 07 12:38:14 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-07 12:39:05,backup,/usr/bin/journalctl -n 50,2026-07-07 12:39:05,0.0,198.51.100.23,Jul 07 12:39:05 backup01 sudo:    backup : TTY=pts/2 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-07 12:57:24,backup,/usr/bin/du -sh /var/log,2026-07-07 12:57:24,0.0,198.51.100.25,Jul 07 12:57:24 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-07 14:29:20,ops,/usr/bin/systemctl restart apache2,2026-07-07 14:29:20,0.0,192.0.2.10,Jul 07 14:29:20 backup01 sudo:    ops : TTY=pts/1 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-07 14:37:21,backup,/usr/bin/journalctl -n 50,2026-07-07 14:37:21,0.0,192.0.2.20,Jul 07 14:37:21 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-07 16:21:09,ops,/usr/bin/du -sh /var/log,2026-07-07 16:21:09,0.0,192.0.2.40,Jul 07 16:21:09 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-07 18:18:19,ops,/usr/bin/systemctl status ssh,2026-07-07 18:18:19,0.0,198.51.100.25,Jul 07 18:18:19 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-07 19:22:57,backup,/usr/bin/systemctl status ssh,2026-07-07 19:22:57,0.0,198.51.100.24,Jul 07 19:22:57 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-07 19:32:04,backup,/usr/bin/apt update,2026-07-07 19:32:04,0.0,198.51.100.24,Jul 07 19:32:04 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-08 00:48:51,backup,/usr/bin/journalctl -n 50,2026-07-08 00:48:51,0.0,192.0.2.12,Jul 08 00:48:51 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-08 02:23:42,backup,/usr/bin/systemctl status ssh,2026-07-08 02:23:42,0.0,198.51.100.24,Jul 08 02:23:42 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-08 08:11:14,backup,/usr/bin/apt update,2026-07-08 08:11:14,0.0,192.0.2.40,Jul 08 08:11:14 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-08 10:03:49,backup,/usr/bin/apt update,2026-07-08 10:03:49,0.0,192.0.2.10,Jul 08 10:03:49 backup01 sudo:    backup : TTY=pts/2 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-08 10:12:08,ops,/usr/bin/journalctl -n 50,2026-07-08 10:12:08,0.0,198.51.100.25,Jul 08 10:12:08 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-08 11:38:05,backup,/usr/bin/journalctl -n 50,2026-07-08 11:38:05,0.0,198.51.100.26,Jul 08 11:38:05 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-08 11:42:10,backup,/usr/bin/apt update,2026-07-08 11:42:10,0.0,192.0.2.11,Jul 08 11:42:10 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-08 11:42:14,ops,/usr/bin/systemctl restart apache2,2026-07-08 11:42:14,0.0,198.51.100.23,Jul 08 11:42:14 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-08 13:10:16,ops,/usr/bin/apt update,2026-07-08 13:10:16,0.0,192.0.2.20,Jul 08 13:10:16 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-08 13:56:28,backup,/usr/bin/du -sh /var/log,2026-07-08 13:56:28,0.0,198.51.100.25,Jul 08 13:56:28 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-08 14:37:51,ops,/usr/bin/systemctl restart apache2,2026-07-08 14:37:51,0.0,198.51.100.26,Jul 08 14:37:51 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-08 14:52:12,ops,/usr/bin/systemctl status ssh,2026-07-08 14:52:12,0.0,198.51.100.25,Jul 08 14:52:12 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-08 14:58:39,ops,/usr/bin/systemctl status ssh,2026-07-08 14:58:39,0.0,192.0.2.12,Jul 08 14:58:39 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-08 15:13:24,backup,/usr/bin/systemctl restart apache2,2026-07-08 15:13:24,0.0,192.0.2.30,Jul 08 15:13:24 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-08 15:27:22,backup,/usr/bin/journalctl -n 50,2026-07-08 15:27:22,0.0,192.0.2.12,Jul 08 15:27:22 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-08 15:48:09,backup,/usr/bin/apt update,2026-07-08 15:48:09,0.0,192.0.2.11,Jul 08 15:48:09 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-08 16:22:34,backup,/usr/bin/systemctl status ssh,2026-07-08 16:22:34,0.0,198.51.100.25,Jul 08 16:22:34 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-08 17:11:55,backup,/usr/bin/journalctl -n 50,2026-07-08 17:11:55,0.0,192.0.2.12,Jul 08 17:11:55 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-08 18:15:18,ops,/usr/bin/systemctl restart apache2,2026-07-08 18:15:18,0.0,198.51.100.25,Jul 08 18:15:18 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-08 18:34:43,backup,/usr/bin/systemctl restart apache2,2026-07-08 18:34:43,0.0,192.0.2.40,Jul 08 18:34:43 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-08 18:41:46,backup,/usr/bin/apt update,2026-07-08 18:41:46,0.0,198.51.100.24,Jul 08 18:41:46 backup01 sudo:    backup : TTY=pts/2 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-08 18:55:52,backup,/usr/bin/systemctl restart apache2,2026-07-08 18:55:52,0.0,192.0.2.20,Jul 08 18:55:52 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-08 21:47:44,ops,/usr/bin/journalctl -n 50,2026-07-08 21:47:44,0.0,192.0.2.11,Jul 08 21:47:44 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-09 02:09:42,ops,/usr/bin/du -sh /var/log,2026-07-09 02:09:42,0.0,192.0.2.31,Jul 09 02:09:42 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-09 08:26:58,ops,/usr/bin/journalctl -n 50,2026-07-09 08:26:58,0.0,192.0.2.21,Jul 09 08:26:58 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-09 11:52:50,backup,/usr/bin/journalctl -n 50,2026-07-09 11:52:50,0.0,192.0.2.31,Jul 09 11:52:50 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-09 12:07:47,ops,/usr/bin/journalctl -n 50,2026-07-09 12:07:47,0.0,198.51.100.26,Jul 09 12:07:47 backup01 sudo:    ops : TTY=pts/1 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-09 12:39:06,ops,/usr/bin/du -sh /var/log,2026-07-09 12:39:06,0.0,192.0.2.30,Jul 09 12:39:06 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-09 12:48:13,ops,/usr/bin/systemctl status ssh,2026-07-09 12:48:13,0.0,198.51.100.26,Jul 09 12:48:13 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-09 13:05:14,ops,/usr/bin/du -sh /var/log,2026-07-09 13:05:14,0.0,192.0.2.21,Jul 09 13:05:14 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-09 13:32:09,ops,/usr/bin/du -sh /var/log,2026-07-09 13:32:09,0.0,192.0.2.40,Jul 09 13:32:09 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-09 13:46:08,ops,/usr/bin/systemctl status ssh,2026-07-09 13:46:08,0.0,192.0.2.21,Jul 09 13:46:08 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-09 14:04:08,ops,/usr/bin/systemctl restart apache2,2026-07-09 14:04:08,0.0,192.0.2.11,Jul 09 14:04:08 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-09 16:47:16,ops,/usr/bin/systemctl status ssh,2026-07-09 16:47:16,0.0,198.51.100.23,Jul 09 16:47:16 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-09 17:35:00,backup,/usr/bin/journalctl -n 50,2026-07-09 17:35:00,0.0,192.0.2.12,Jul 09 17:35:00 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-09 17:47:50,ops,/usr/bin/du -sh /var/log,2026-07-09 17:47:50,0.0,192.0.2.20,Jul 09 17:47:50 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-09 18:18:08,ops,/usr/bin/systemctl restart apache2,2026-07-09 18:18:08,0.0,192.0.2.21,Jul 09 18:18:08 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-09 22:37:57,ops,/usr/bin/journalctl -n 50,2026-07-09 22:37:57,0.0,198.51.100.24,Jul 09 22:37:57 backup01 sudo:    ops : TTY=pts/1 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-10 00:35:14,ops,/usr/bin/du -sh /var/log,2026-07-10 00:35:14,0.0,192.0.2.21,Jul 10 00:35:14 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-10 03:39:20,ops,/usr/bin/systemctl restart apache2,2026-07-10 03:39:20,0.0,192.0.2.20,Jul 10 03:39:20 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-10 09:23:55,backup,/usr/bin/apt update,2026-07-10 09:23:55,0.0,198.51.100.25,Jul 10 09:23:55 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-10 09:26:29,backup,/usr/bin/systemctl status ssh,2026-07-10 09:26:29,0.0,198.51.100.25,Jul 10 09:26:29 backup01 sudo:    backup : TTY=pts/2 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-10 09:37:42,ops,/usr/bin/systemctl restart apache2,2026-07-10 09:37:42,0.0,198.51.100.24,Jul 10 09:37:42 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-10 10:20:40,backup,/usr/bin/systemctl restart apache2,2026-07-10 10:20:40,0.0,192.0.2.10,Jul 10 10:20:40 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-10 10:32:59,backup,/usr/bin/systemctl status ssh,2026-07-10 10:32:59,0.0,192.0.2.20,Jul 10 10:32:59 backup01 sudo:    backup : TTY=pts/2 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-10 11:13:55,ops,/usr/bin/systemctl status ssh,2026-07-10 11:13:55,0.0,198.51.100.23,Jul 10 11:13:55 backup01 sudo:    ops : TTY=pts/1 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-10 12:28:42,backup,/usr/bin/du -sh /var/log,2026-07-10 12:28:42,0.0,192.0.2.30,Jul 10 12:28:42 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-10 16:54:06,backup,/usr/bin/systemctl restart apache2,2026-07-10 16:54:06,0.0,192.0.2.31,Jul 10 16:54:06 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-10 17:42:36,backup,/usr/bin/systemctl restart apache2,2026-07-10 17:42:36,0.0,192.0.2.30,Jul 10 17:42:36 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-10 18:28:17,ops,/usr/bin/du -sh /var/log,2026-07-10 18:28:17,0.0,198.51.100.26,Jul 10 18:28:17 backup01 sudo:    ops : TTY=pts/3 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 02:02:53,ops,/usr/bin/journalctl -n 50,2026-07-11 02:02:53,0.0,198.51.100.26,Jul 11 02:02:53 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-11 03:08:19,backup,/usr/bin/journalctl -n 200,2026-07-11 03:08:19,0.0,203.0.113.89,Jul 11 03:08:19 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 200,high
2026-07-11 03:08:19,backup,/usr/bin/systemctl status cron,2026-07-11 03:08:19,0.0,203.0.113.89,Jul 11 03:08:19 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status cron,high
2026-07-11 04:10:21,ops,/usr/bin/du -sh /var/log,2026-07-11 04:10:21,0.0,192.0.2.20,Jul 11 04:10:21 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 08:19:20,backup,/usr/bin/journalctl -n 50,2026-07-11 08:19:20,0.0,192.0.2.30,Jul 11 08:19:20 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-11 08:47:36,ops,/usr/bin/du -sh /var/log,2026-07-11 08:47:36,0.0,192.0.2.31,Jul 11 08:47:36 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 09:48:53,ops,/usr/bin/systemctl status ssh,2026-07-11 09:48:53,0.0,198.51.100.24,Jul 11 09:48:53 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-11 10:01:51,backup,/usr/bin/du -sh /var/log,2026-07-11 10:01:51,0.0,192.0.2.21,Jul 11 10:01:51 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 10:13:48,backup,/usr/bin/du -sh /var/log,2026-07-11 10:13:48,0.0,192.0.2.20,Jul 11 10:13:48 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 13:02:33,backup,/usr/bin/journalctl -n 50,2026-07-11 13:02:33,0.0,192.0.2.10,Jul 11 13:02:33 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-11 13:08:29,ops,/usr/bin/apt update,2026-07-11 13:08:29,0.0,198.51.100.24,Jul 11 13:08:29 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-11 13:11:06,ops,/usr/bin/du -sh /var/log,2026-07-11 13:11:06,0.0,198.51.100.25,Jul 11 13:11:06 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 13:14:57,backup,/usr/bin/systemctl restart apache2,2026-07-11 13:14:57,0.0,192.0.2.20,Jul 11 13:14:57 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-11 14:02:06,backup,/usr/bin/systemctl status ssh,2026-07-11 14:02:06,0.0,192.0.2.11,Jul 11 14:02:06 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-11 15:22:25,backup,/usr/bin/du -sh /var/log,2026-07-11 15:22:25,0.0,198.51.100.24,Jul 11 15:22:25 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 16:33:54,backup,/usr/bin/du -sh /var/log,2026-07-11 16:33:54,0.0,192.0.2.12,Jul 11 16:33:54 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-11 16:52:39,backup,/usr/bin/systemctl status ssh,2026-07-11 16:52:39,0.0,192.0.2.30,Jul 11 16:52:39 backup01 sudo:    backup : TTY=pts/4 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-11 17:03:18,backup,/usr/bin/apt update,2026-07-11 17:03:18,0.0,192.0.2.40,Jul 11 17:03:18 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
