line_number,previous_line_number,previous_datetime,current_datetime,delta_seconds,current_raw_line,previous_raw_line
406,405,2026-07-06 11:31:44,2026-07-06 10:15:02,-4602,Jul 06 10:15:02 backup01 sshd[7546]: pam_unix(sshd:session): session closed for user arun,Jul 06 11:31:44 backup01 sshd[9345]: error: maximum authentication attempts exceeded for j.maguire from 198.51.100.25 port 43034 ssh2 [preauth]
412,411,2026-07-06 11:35:43,2026-07-06 11:33:39,-124,Jul 06 11:33:39 backup01 sshd[5783]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 11:35:43 backup01 sshd[8276]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0)
421,420,2026-07-06 11:41:35,2026-07-06 10:36:00,-3935,Jul 06 10:36:00 backup01 sshd[7925]: pam_unix(sshd:session): session closed for user arun,Jul 06 11:41:35 backup01 sshd[7732]: pam_unix(sshd:session): session opened for user ops by (uid=0)
423,422,2026-07-06 11:41:30,2026-07-06 10:38:23,-3787,Jul 06 10:38:23 backup01 sshd[2081]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 11:41:30 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh
428,427,2026-07-06 11:48:27,2026-07-06 11:48:04,-23,Jul 06 11:48:04 backup01 sshd[3192]: pam_unix(sshd:session): session opened for user arun by (uid=0),Jul 06 11:48:27 backup01 sshd[1856]: Accepted password for j.maguire from 192.0.2.20 port 42880 ssh2
433,432,2026-07-06 11:50:04,2026-07-06 10:24:22,-5142,Jul 06 10:24:22 backup01 sshd[1792]: pam_unix(sshd:session): session closed for user arun,Jul 06 11:50:04 backup01 sshd[2262]: pam_unix(sshd:session): session opened for user backup by (uid=0)
439,438,2026-07-06 11:54:37,2026-07-06 11:50:04,-273,Jul 06 11:50:04 backup01 sshd[8858]: pam_unix(sshd:session): session closed for user backup,Jul 06 11:54:37 backup01 sshd[6027]: Invalid user test from 192.0.2.10 port 40207
448,447,2026-07-06 11:58:58,2026-07-06 11:58:36,-22,Jul 06 11:58:36 backup01 sshd[8309]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 06 11:58:58 backup01 sshd[3557]: Invalid user support from 192.0.2.12 port 57239
452,451,2026-07-06 11:59:21,2026-07-06 10:39:13,-4808,Jul 06 10:39:13 backup01 sshd[3204]: pam_unix(sshd:session): session closed for user ops,Jul 06 11:59:21 backup01 sshd[4700]: pam_unix(sshd:session): session opened for user backup by (uid=0)
455,454,2026-07-06 12:02:03,2026-07-06 10:47:04,-4499,Jul 06 10:47:04 backup01 sshd[5694]: pam_unix(sshd:session): session closed for user backup,Jul 06 12:02:03 backup01 sshd[7418]: Accepted password for ops from 198.51.100.24 port 43948 ssh2
465,464,2026-07-06 12:06:16,2026-07-06 10:39:28,-5208,Jul 06 10:39:28 backup01 sshd[5632]: pam_unix(sshd:session): session closed for user backup,Jul 06 12:06:16 backup01 sshd[1400]: Accepted password for arun from 198.51.100.23 port 48665 ssh2
471,470,2026-07-06 12:13:24,2026-07-06 12:13:22,-2,Jul 06 12:13:22 backup01 sshd[3995]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 06 12:13:24 backup01 sshd[1433]: Invalid user git from 192.0.2.11 port 62939
477,476,2026-07-06 12:15:47,2026-07-06 12:15:44,-3,Jul 06 12:15:44 backup01 sshd[9146]: pam_unix(sshd:session): session opened for user j.singer by (uid=0),Jul 06 12:15:47 backup01 CRON[4247]: pam_unix(cron:session): session opened for user root by (uid=0)
481,480,2026-07-06 12:18:16,2026-07-06 11:35:43,-2553,Jul 06 11:35:43 backup01 sshd[2545]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 12:18:16 backup01 sshd[2483]: Failed password for arun from 192.0.2.20 port 63268 ssh2
488,487,2026-07-06 12:20:50,2026-07-06 12:04:12,-998,Jul 06 12:04:12 backup01 sshd[4446]: pam_unix(sshd:session): session closed for user backup,Jul 06 12:20:50 backup01 sshd[6472]: pam_unix(sshd:session): session opened for user j.singer by (uid=0)
500,499,2026-07-06 12:31:19,2026-07-06 11:41:30,-2989,Jul 06 11:41:30 backup01 sshd[3909]: pam_unix(sshd:session): session closed for user backup,Jul 06 12:31:19 backup01 sshd[1695]: Failed password for j.maguire from 198.51.100.24 port 56152 ssh2
504,503,2026-07-06 12:34:19,2026-07-06 12:13:22,-1257,Jul 06 12:13:22 backup01 sshd[1612]: pam_unix(sshd:session): session closed for user backup,Jul 06 12:34:19 backup01 CRON[4260]: pam_unix(cron:session): session opened for user root by (uid=0)
515,514,2026-07-06 12:40:53,2026-07-06 11:41:35,-3558,Jul 06 11:41:35 backup01 sshd[9396]: pam_unix(sshd:session): session closed for user ops,Jul 06 12:40:53 backup01 sshd[3568]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0)
524,523,2026-07-06 12:45:23,2026-07-06 12:35:37,-586,Jul 06 12:35:37 backup01 sshd[4041]: pam_unix(sshd:session): session closed for user arun,Jul 06 12:45:23 backup01 sshd[3755]: pam_unix(sshd:session): session opened for user j.singer by (uid=0)
525,524,2026-07-06 12:35:37,2026-07-06 12:15:44,-1193,Jul 06 12:15:44 backup01 sshd[2085]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 12:35:37 backup01 sshd[4041]: pam_unix(sshd:session): session closed for user arun
536,535,2026-07-06 12:58:34,2026-07-06 12:26:38,-1916,Jul 06 12:26:38 backup01 sshd[5112]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 12:58:34 backup01 sshd[5470]: Accepted password for j.singer from 198.51.100.26 port 39213 ssh2
538,537,2026-07-06 12:59:01,2026-07-06 12:58:34,-27,Jul 06 12:58:34 backup01 sshd[9606]: pam_unix(sshd:session): session opened for user j.singer by (uid=0),Jul 06 12:59:01 backup01 sshd[4704]: Failed password for j.maguire from 198.51.100.26 port 61447 ssh2
539,538,2026-07-06 12:58:34,2026-07-06 11:58:36,-3598,Jul 06 11:58:36 backup01 sshd[1758]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 12:58:34 backup01 sshd[9606]: pam_unix(sshd:session): session opened for user j.singer by (uid=0)
552,551,2026-07-06 13:05:05,2026-07-06 13:04:23,-42,Jul 06 13:04:23 backup01 sudo:    j.maguire : TTY=pts/4 ; PWD=/home/j.maguire ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,Jul 06 13:05:05 backup01 sshd[1266]: Invalid user pi from 198.51.100.26 port 32610
557,556,2026-07-06 13:06:34,2026-07-06 13:06:28,-6,Jul 06 13:06:28 backup01 sshd[5224]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 06 13:06:34 backup01 sshd[7849]: Connection closed by authenticating user arun 198.51.100.26 port 44355 [preauth]
561,560,2026-07-06 13:07:59,2026-07-06 11:59:21,-4118,Jul 06 11:59:21 backup01 sshd[8769]: pam_unix(sshd:session): session closed for user backup,Jul 06 13:07:59 backup01 sshd[6440]: Failed password for ops from 198.51.100.23 port 32024 ssh2
564,563,2026-07-06 13:09:46,2026-07-06 12:58:34,-672,Jul 06 12:58:34 backup01 sshd[5120]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 13:09:46 backup01 sshd[5231]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0)
571,570,2026-07-06 13:13:24,2026-07-06 13:13:09,-15,Jul 06 13:13:09 backup01 sshd[2074]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 06 13:13:24 backup01 sshd[2604]: Invalid user pi from 198.51.100.25 port 47635
579,578,2026-07-06 13:15:32,2026-07-06 12:20:11,-3321,Jul 06 12:20:11 backup01 sshd[7565]: pam_unix(sshd:session): session closed for user ops,Jul 06 13:15:32 backup01 sshd[9251]: Failed password for arun from 192.0.2.31 port 56633 ssh2
583,582,2026-07-06 13:18:48,2026-07-06 12:39:09,-2379,Jul 06 12:39:09 backup01 sshd[8888]: pam_unix(sshd:session): session closed for user arun,Jul 06 13:18:48 backup01 sshd[3847]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0)
588,587,2026-07-06 13:22:33,2026-07-06 12:45:23,-2230,Jul 06 12:45:23 backup01 sshd[3739]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 13:22:33 backup01 sshd[5760]: Invalid user service from 198.51.100.23 port 45330
593,592,2026-07-06 13:26:00,2026-07-06 13:03:24,-1356,Jul 06 13:03:24 backup01 sshd[1345]: pam_unix(sshd:session): session closed for user ops,Jul 06 13:26:00 backup01 sshd[9499]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0)
598,597,2026-07-06 13:28:35,2026-07-06 13:09:46,-1129,Jul 06 13:09:46 backup01 sshd[3821]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 13:28:35 backup01 sshd[7484]: Failed password for j.singer from 198.51.100.23 port 44114 ssh2
606,605,2026-07-06 13:32:38,2026-07-06 13:14:09,-1109,Jul 06 13:14:09 backup01 sshd[7084]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 13:32:38 backup01 sshd[6278]: pam_unix(sshd:session): session opened for user j.singer by (uid=0)
608,607,2026-07-06 13:33:50,2026-07-06 13:32:38,-72,Jul 06 13:32:38 backup01 sudo:    j.singer : TTY=pts/4 ; PWD=/home/j.singer ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,Jul 06 13:33:50 backup01 sshd[4006]: Invalid user administrator from 192.0.2.12 port 33513
625,624,2026-07-06 13:45:34,2026-07-06 13:27:48,-1066,Jul 06 13:27:48 backup01 sshd[8060]: pam_unix(sshd:session): session closed for user ops,Jul 06 13:45:34 backup01 sshd[3773]: error: maximum authentication attempts exceeded for j.maguire from 192.0.2.21 port 36908 ssh2 [preauth]
628,627,2026-07-06 13:47:37,2026-07-06 12:20:50,-5207,Jul 06 12:20:50 backup01 sshd[6216]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 13:47:37 backup01 sshd[1218]: Invalid user ubuntu from 192.0.2.31 port 42854
634,633,2026-07-06 13:51:44,2026-07-06 13:13:09,-2315,Jul 06 13:13:09 backup01 sshd[4504]: pam_unix(sshd:session): session closed for user backup,Jul 06 13:51:44 backup01 sshd[4629]: Accepted password for backup from 192.0.2.12 port 32596 ssh2
637,636,2026-07-06 13:52:45,2026-07-06 13:18:48,-2037,Jul 06 13:18:48 backup01 sshd[5242]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 13:52:45 backup01 sshd[2756]: Accepted password for j.singer from 192.0.2.12 port 34895 ssh2
639,638,2026-07-06 13:52:45,2026-07-06 13:51:44,-61,Jul 06 13:51:44 backup01 sshd[9023]: pam_unix(sshd:session): session closed for user backup,Jul 06 13:52:45 backup01 sshd[4603]: pam_unix(sshd:session): session opened for user j.singer by (uid=0)
640,639,2026-07-06 13:51:44,2026-07-06 12:54:49,-3415,Jul 06 12:54:49 backup01 sshd[1591]: pam_unix(sshd:session): session closed for user ops,Jul 06 13:51:44 backup01 sshd[9023]: pam_unix(sshd:session): session closed for user backup
648,647,2026-07-06 13:56:29,2026-07-06 13:56:02,-27,Jul 06 13:56:02 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,Jul 06 13:56:29 backup01 sshd[6513]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0)
